"Story","Title","Result","Date","Stability","Duration (s)"
"Google Search","Search norway northen lights in google","SUCCESS","2018-11-19T22:20:50.781-05:00[America/Bogota]","0.0","11.23"
"Google Search","search somenthing in google","PENDING","2018-11-19T17:30:58.966-05:00[America/Bogota]","0.0","0.32"
